Gene.name,log2FoldChange,padj
Dync1h1,0.301030026,4.50E-09
N4bp1,0.371311482,4.51E-09
Atxn7l1,-0.446382115,4.53E-09
Strn4,-0.261337266,4.58E-09
Ets2,-0.390746217,4.60E-09
Ptgr2,-0.952022525,4.60E-09
Harbi1,-0.861972764,4.62E-09
Gabarap,0.280963004,4.62E-09
Atxn3,-0.787295445,4.65E-09
Mypop,-0.814696519,4.69E-09
Map6,-0.365514229,4.70E-09
Ptk2b,-0.46636941,4.73E-09
Cystm1,0.807671613,4.75E-09
Slc22a15,-0.71141714,4.77E-09
Flot1,-0.372144624,4.81E-09
Zgpat,0.519769483,4.85E-09
AABR07070810.1,0.640477003,4.85E-09
Mis12,-0.968338188,4.91E-09
Brinp3,0.82220825,4.98E-09
Ptpdc1,-0.644094415,5.01E-09
Rabgef1,0.417827179,5.05E-09
Rev1,-0.419582859,5.07E-09
Syt17,-1.121744606,5.11E-09
Raver1,0.41868648,5.14E-09
Serpinb2,4.600902993,5.16E-09
Gdf5,1.488129824,5.16E-09
Kyat1,0.899615497,5.18E-09
Ntn3,-0.716525973,5.18E-09
Aloxe3,0.611815047,5.19E-09
Plpp3,0.703773217,5.20E-09
Alkbh4,0.581919098,5.23E-09
Col5a1,1.091082825,5.26E-09
Maneal,-0.416646501,5.49E-09
Mindy4,-0.891752179,5.50E-09
Ubqln1,0.282710721,5.55E-09
Cbll1,0.449561652,5.56E-09
Zxdc,0.488446378,5.59E-09
Tsc2,0.297009497,5.65E-09
Ttc33,-0.649286988,5.72E-09
Sync,-0.800728791,5.86E-09
Vps4b,0.50117159,5.93E-09
Pfas,-0.35661173,5.95E-09
AABR07051787.1,-0.859646436,5.95E-09
Lmln,-0.695834148,6.00E-09
Stxbp3,0.845464453,6.01E-09
Clmp,-0.489595292,6.01E-09
Mfsd4b,-0.967492313,6.01E-09
Bbs12,-1.787836918,6.02E-09
Galnt10,-0.659185398,6.06E-09
Exoc6,-0.535127099,6.11E-09
B4galt6,-0.372860691,6.21E-09
Fbxw4,-0.432472556,6.41E-09
Dock4,-0.433794072,6.55E-09
Rrp1,0.392623368,6.62E-09
Ptdss1,-0.293717154,6.75E-09
Elob,0.381288296,6.80E-09
Ube2q1,-0.259757305,6.80E-09
Xbp1,0.351527804,6.84E-09
Triap1,0.449910963,6.85E-09
LOC100360573,0.545673482,6.86E-09
Etv6,0.863585811,6.89E-09
Stx17,-0.819303027,6.89E-09
Socs3,2.217491432,7.13E-09
Mapt,0.336465098,7.15E-09
Hspa4,0.283488015,7.20E-09
Dlx2,1.331408151,7.20E-09
Prpf38b,0.406664322,7.23E-09
LOC100361457,0.299368578,7.27E-09
Dnajb6,0.355968905,7.31E-09
Phactr3,0.30867227,7.35E-09
Lnpep,-0.49536646,7.40E-09
Orc3,-0.697299443,7.45E-09
Vopp1,0.480634369,7.45E-09
Acap3,0.244137436,7.58E-09
Ap1s3,0.871758846,7.64E-09
Wdfy2,0.486186621,7.66E-09
LOC100365810,0.45918677,7.69E-09
Tp53bp1,0.217945729,7.70E-09
Ppp2cb,0.405492737,7.75E-09
LOC100361087,0.478890779,7.75E-09
Pkdcc,-0.747694721,7.76E-09
Ccnj,0.519781166,7.80E-09
Fam210a,-0.454959944,7.81E-09
Mfsd13a,-0.627914424,7.83E-09
Rpn1,0.178614254,7.95E-09
Ankrd50,0.611915057,8.02E-09
Cdk5rap2,0.447196741,8.04E-09
Zfp518a,-0.846709837,8.04E-09
Gpc2,0.668172328,8.17E-09
Inf2,-0.671930232,8.27E-09
Zfp84,0.878041597,8.27E-09
Cerk,-0.322524657,8.29E-09
Ensa,0.329949497,8.31E-09
Samm50,-0.292714531,8.37E-09
Slc39a13,-0.623507582,8.42E-09
LOC100912195,0.408789965,8.68E-09
Cnnm3,-0.476766814,8.71E-09
Rnaseh1,-0.954799162,8.75E-09
Sf3b3,-0.326617483,8.82E-09
Mrps17,-0.779424656,8.90E-09
Fzr1,-0.423454242,9.03E-09
Fabp5,0.463647874,9.04E-09
Wdhd1,1.165889534,9.06E-09
LOC108348144,0.430864377,9.10E-09
Tnip1,-0.519109734,9.14E-09
LOC100911402,-0.630973932,9.15E-09
Dhcr7,-0.256223499,9.15E-09
Ptcd2,-1.019933821,9.26E-09
Mrps12,-0.695134699,9.31E-09
Nudcd2,-0.872736757,9.35E-09
Rnf146,0.443730488,9.50E-09
Cald1,1.057846816,9.51E-09
Atp8a2,0.296981262,9.52E-09
Actr2,0.374311776,9.57E-09
Zfp385d,1.12379002,9.65E-09
Lyrm4,-0.894004591,9.65E-09
Cryzl1,-0.458728904,9.73E-09
Pnp,1.598114603,9.75E-09
Slc19a1,-0.686783701,9.79E-09
Dvl2,0.674180521,9.92E-09
Larp4b,-0.336274678,9.99E-09
Ficd,-0.596636593,1.00E-08
Adgrl3,0.274150832,1.00E-08
Kif2a,-0.369707347,1.01E-08
RGD1311899,-0.304089535,1.01E-08
Fam216a,-0.406782851,1.02E-08
AABR07044959.1,0.425268565,1.04E-08
Hsbp1,0.358544076,1.05E-08
Mpp5,0.658090004,1.05E-08
Trim7,-1.160788464,1.05E-08
Dclre1a,0.982105369,1.07E-08
Fasn,-0.287418623,1.07E-08
Ints7,-0.395427526,1.07E-08
Sumo3,0.324978561,1.08E-08
Tle5,0.357312066,1.08E-08
Pdgfb,-1.095038303,1.09E-08
Gfod2,-0.350102517,1.09E-08
Inpp5a,0.563723875,1.09E-08
Tmem74b,-0.8639618,1.09E-08
Mt-co2,0.540902167,1.09E-08
Usp19,0.434097756,1.12E-08
Rev3l,0.402407714,1.13E-08
Gclm,-0.632020524,1.13E-08
Raver2,-0.94365886,1.13E-08
Zfp14,-0.660182779,1.14E-08
Zswim9,-0.730358094,1.15E-08
Chaf1a,-0.606193946,1.15E-08
Cdc37l1,0.382695377,1.18E-08
Hiatl3,0.401849146,1.19E-08
Azi2,-0.367104217,1.19E-08
Zfp707,0.483323967,1.19E-08
Ube4a,-0.369338467,1.22E-08
Eif4b,-0.204064865,1.22E-08
Whamm,0.747108725,1.23E-08
Zfat,0.565507096,1.24E-08
Ptpn3,-1.062753781,1.24E-08
Nap1l1,0.518033691,1.27E-08
Optn,-0.531739927,1.27E-08
Naaladl1,-0.880280839,1.28E-08
Ppp2r2b,-0.519346796,1.28E-08
Ints4,-0.580283275,1.28E-08
Klhl1,0.880315474,1.30E-08
LOC103694905,1.116212085,1.30E-08
Hmgn5,1.857220298,1.30E-08
Etfdh,-0.593198016,1.31E-08
Sec14l1,-0.280868998,1.31E-08
Vcan,0.611656385,1.33E-08
Cog7,-0.470584702,1.36E-08
Nrcam,0.289827402,1.37E-08
Immt,-0.282325433,1.37E-08
LOC108348145,-0.726169031,1.38E-08
Itgb8,0.672037783,1.39E-08
N4bp3,-0.816144784,1.39E-08
Pde8a,2.609626234,1.39E-08
Wipf3,0.481345376,1.40E-08
AABR07050530.1,1.676629609,1.40E-08
Esf1,-0.622621429,1.40E-08
Cenpa,3.222854247,1.40E-08
Rps6kc1,-0.303784808,1.43E-08
Pradc1,-0.788616606,1.45E-08
Terf2ip,0.315383417,1.46E-08
Sipa1l3,-0.421817947,1.49E-08
Rgs8,-0.533710036,1.50E-08
AABR07044273.1,0.518661303,1.50E-08
Frg1,-0.845762974,1.50E-08
Psd,0.388630102,1.52E-08
Ehd1,-0.309987658,1.56E-08
Bhlha15,-2.185127082,1.56E-08
Txlna,-0.508555824,1.58E-08
Knop1,-0.483744437,1.59E-08
Nars1,0.213590692,1.60E-08
Aldh6a1,-0.723401341,1.60E-08
Nr1d2,-0.696270895,1.61E-08
Paqr8,-1.191556544,1.62E-08
Zmat4,1.271678674,1.63E-08
Pdpk1,0.32917935,1.63E-08
Tmem158,-0.529935864,1.63E-08
AABR07010563.1,1.591531764,1.64E-08
RGD1310951,0.872041731,1.64E-08
Ldhb,0.344162046,1.65E-08
LOC100911313,0.867244645,1.66E-08
Rp2,1.067858436,1.66E-08
Clu,0.52999817,1.68E-08
AABR07073045.1,0.456609687,1.69E-08
Mterf2,-1.281598078,1.70E-08
Mark2,-0.30454939,1.71E-08
Ring1,-0.678430315,1.71E-08
Rrn3,-0.349946591,1.72E-08
Trpt1,-1.517078681,1.75E-08
AABR07006894.1,-0.444472074,1.76E-08
Retsat,0.63390204,1.77E-08
LOC108348082,-0.611839961,1.77E-08
Atp6v0a4,-0.717491045,1.78E-08
Kctd18,-0.599696425,1.80E-08
Kank3,-1.015122102,1.81E-08
Nectin3,0.694888225,1.82E-08
Pam,1.815539598,1.83E-08
Sdha,-0.295345953,1.85E-08
Atg4c,-0.815716315,1.87E-08
Fxr2,-0.276993327,1.93E-08
Pak7,-0.400177498,1.94E-08
Zfp161,-0.457618741,1.94E-08
AC242859.3,0.419271571,1.95E-08
Phf21b,1.262694687,1.95E-08
Bbs7,-1.016808045,1.95E-08
AABR07036855.1,-0.913764356,1.96E-08
Sla,-0.41777569,1.96E-08
Egfr,1.089622627,1.96E-08
AABR07028998.1,0.995429642,1.96E-08
Psmd1,-0.262776856,1.96E-08
Nop56,0.297786885,1.97E-08
Zfp407,0.35799483,1.98E-08
Cdh15,-0.9453785,1.98E-08
Zfp707l1,0.644237708,2.01E-08
Rspo2,0.791707936,2.01E-08
Daxx,-0.461332712,2.02E-08
Gorasp2,0.283726158,2.04E-08
Zhx1,-0.485669478,2.04E-08
Rps12,0.439561091,2.05E-08
AABR07044473.1,1.846154052,2.05E-08
Pnrc2,0.523858278,2.05E-08
AABR07006627.1,0.403533295,2.05E-08
MGC116121,-0.649610316,2.05E-08
Rtn4rl2,0.613985593,2.06E-08
Wdr25,-1.194179569,2.08E-08
Pygo1,-0.661729616,2.08E-08
Sfrp4,2.136797694,2.08E-08
Adamts7,-0.942058561,2.14E-08
Eaf1,0.425432486,2.15E-08
Fam131c,-0.582275441,2.16E-08
LOC108348069,0.360416783,2.17E-08
Nudt18,-0.918815886,2.21E-08
Letmd1,-0.424242677,2.21E-08
LOC100911356,0.331819674,2.23E-08
Fam160b2,-0.469664841,2.24E-08
Ulk3,-0.817345674,2.26E-08
Zranb1,0.345841398,2.26E-08
Oscp1,-0.701921815,2.30E-08
Pgk1,0.310213055,2.30E-08
Dusp23,-0.866340953,2.33E-08
Manea,0.651258144,2.36E-08
Aebp2,0.582412654,2.38E-08
Marchf6,0.256376124,2.40E-08
B3gnt2,0.987652064,2.40E-08
Idh2,0.716580882,2.42E-08
Mpc2,0.330904054,2.42E-08
Limd2,-0.398600919,2.44E-08
Ppial4d,0.376483983,2.45E-08
Kif5a,0.263510984,2.50E-08
Fam126a,-0.384279445,2.50E-08
Bloc1s3,-0.944262036,2.50E-08
Hid1,-0.426757101,2.50E-08
Fam110b,-0.556758081,2.51E-08
LOC102551539,0.855565161,2.56E-08
Hecw2,0.323633039,2.57E-08
Pheta1,-0.586343837,2.57E-08
Cyb5b,-0.250076408,2.61E-08
St7l,-0.619669844,2.65E-08
LOC100909715,0.574915518,2.66E-08
Abcd3,-0.365984013,2.67E-08
Slc2a8,-0.496653565,2.67E-08
Aff3,-0.375819748,2.69E-08
Topbp1,-0.482302641,2.71E-08
Pex3,-0.592629555,2.72E-08
Ube2r2,-0.266577135,2.75E-08
Ankrd13a,0.322323272,2.76E-08
Rasgef1b,0.700494707,2.76E-08
Gtpbp3,-0.691589946,2.77E-08
Tm2d3,-0.830692808,2.81E-08
Ttc37,0.371268264,2.84E-08
Fopnl,-0.704398449,2.85E-08
Nat9,-0.639452512,2.86E-08
Cars,0.251568683,2.89E-08
Bves,1.77148656,2.94E-08
Kcng2,-0.804683104,2.95E-08
Lima1,1.179678094,2.97E-08
Prmt9,-0.460405015,2.98E-08
Ccdc127,-0.715510444,3.00E-08
RGD1305464,-0.940123627,3.02E-08
Cfap69,0.776150862,3.03E-08
Ankrd28,-0.45421694,3.08E-08
Lurap1l,1.198818179,3.11E-08
Lars1,0.350836424,3.12E-08
Sccpdh,-0.337749882,3.15E-08
Mllt10,-0.396588875,3.15E-08
Necap1,0.262484914,3.20E-08
Prrg3,-0.774887533,3.21E-08
Trmt10b,-0.777405199,3.25E-08
RGD1306746,-0.828686807,3.25E-08
Atp5f1e,0.379264065,3.27E-08
Corin,2.323078995,3.30E-08
Gys1,-0.471189362,3.34E-08
Tma7,0.324224871,3.36E-08
Klhl24,-0.502133078,3.36E-08
Tmem17,-0.844330783,3.37E-08
Tedc1,-0.430964355,3.38E-08
Pgam5,0.34138465,3.40E-08
Col9a2,0.637750604,3.41E-08
Exosc3,0.791857176,3.43E-08
Isoc1,0.451959059,3.44E-08
Prkacb,0.222472251,3.44E-08
Cast,-0.631528416,3.44E-08
Arhgef28,-0.555554204,3.45E-08
Atg101,-0.539909387,3.46E-08
Coro1c,-0.25258574,3.56E-08
Ap3b2,-0.253618749,3.57E-08
Ywhaq,0.340912166,3.57E-08
Nek3,-0.941814984,3.57E-08
Slco3a1,-0.532074569,3.57E-08
Stk38,-0.617733569,3.60E-08
Rbm22,0.361787399,3.65E-08
Hivep2,0.4469388,3.67E-08
Ppp2r3b,0.574018517,3.68E-08
AC109542.1,0.435407439,3.69E-08
Lrp1,0.347129204,3.74E-08
AABR07000738.1,1.786264835,3.76E-08
Mt-nd2,0.95344671,3.77E-08
Vamp2,0.235231816,3.85E-08
Meltf,-2.055902521,3.94E-08
Cep57,0.594059862,4.00E-08
Gpank1,-0.692919936,4.04E-08
Sh3bgrl,0.552675474,4.06E-08
LOC100365839,0.410720399,4.07E-08
Arhgef10,-1.219222029,4.10E-08
AC119015.1,-1.229116523,4.12E-08
Ctif,-0.314979591,4.14E-08
Zfp358,-0.561394587,4.16E-08
Pla2g12a,0.732769458,4.21E-08
Sh3yl1,-0.716383834,4.27E-08
Fbxo10,-0.391454713,4.29E-08
Kbtbd3,-0.923974559,4.36E-08
Usb1,-0.718830594,4.36E-08
Zfp579,-0.52746336,4.39E-08
Gpcpd1,-0.546632691,4.42E-08
Ogdhl,-0.467618054,4.43E-08
Wdr35,-0.394694278,4.47E-08
Slc44a1,-0.394960075,4.47E-08
Fgf9,0.830217448,4.48E-08
Tceanc2,-1.063605264,4.49E-08
LOC100912380,0.24490798,4.50E-08
Chrnb2,-0.381041616,4.50E-08
Ndfip1,0.393116973,4.52E-08
Sphkap,-0.516923437,4.52E-08
Chd5,0.234963846,4.54E-08
Tet1,-0.37194495,4.57E-08
Ephx1,-0.896725128,4.60E-08
Lsr,-0.968175909,4.67E-08
Lypd1,-1.085706128,4.68E-08
LOC100362027,0.442984127,4.69E-08
Hdac1,0.460325677,4.74E-08
Hunk,1.489216676,4.74E-08
Ptpn1,0.281286074,4.76E-08
Cdc42bpa,0.433714412,4.77E-08
Ndn,0.227341002,4.85E-08
Clock,0.432264998,4.88E-08
Atp6ap2,0.345450794,4.94E-08
L3mbtl2,-0.445819269,4.98E-08
Gnl3,0.434525914,4.98E-08
Mbd2,0.573381082,5.02E-08
Tor1aip2,0.897671377,5.03E-08
MGC116202,0.260064794,5.04E-08
LOC100911994,-0.63024168,5.04E-08
R3hcc1,-0.448828232,5.05E-08
Fam193a,-0.263490003,5.05E-08
Scn3b,-0.465865246,5.08E-08
Map2k3,-0.600031826,5.08E-08
Myl12a,1.038550193,5.10E-08
Pcdhga9,0.664748531,5.15E-08
Uchl1,0.301404157,5.20E-08
Tprg1l,-0.367150689,5.26E-08
Rab34,-1.184041409,5.33E-08
Nsd2,0.313526348,5.35E-08
RGD735065,-0.37542653,5.39E-08
Agtpbp1,0.315226385,5.42E-08
Ankrd34c,1.373916349,5.44E-08
Rnf180,-0.604234965,5.47E-08
Mpzl3,1.411892339,5.49E-08
Fam20c,-0.302918834,5.52E-08
Adipor1,0.270992523,5.55E-08
Pias2,0.367482437,5.65E-08
NEWGENE_1308612,-0.577220929,5.68E-08
Gnai1,0.314296642,5.71E-08
Tmem25,-0.709392529,5.75E-08
LOC103694869,0.456487659,5.76E-08
Mtfmt,-0.719210935,5.77E-08
Herpud2,-0.393186166,5.79E-08
Mt-co3,0.6459736,5.79E-08
Smad2,-0.306011387,5.80E-08
Cdh13,0.340505199,5.81E-08
Slc35a5,-0.457172969,5.85E-08
Nmbr,1.329938458,5.85E-08
Ypel5,-0.616189794,5.85E-08
AABR07061378.1,0.444857791,5.86E-08
LOC102555457,-0.37746861,5.87E-08
Zfp628,-0.602083642,5.88E-08
Ddx28,-0.616272905,5.92E-08
Zdhhc9,-0.295194973,5.94E-08
Emx2,2.039459863,5.98E-08
Znf48,0.337693584,6.03E-08
Kazn,-0.507495655,6.05E-08
LOC103689999,-0.342521039,6.16E-08
Foxj3,-0.361741081,6.17E-08
Eef1g,0.25396916,6.20E-08
Abracl,-0.658451883,6.24E-08
Nhlrc1,-0.682805813,6.52E-08
Xpo7,-0.218068849,6.52E-08
Nav3,0.214543287,6.53E-08
Nktr,0.526192793,6.62E-08
Usp48,-0.361034187,6.63E-08
Dysf,1.286990546,6.68E-08
Rxra,0.790079551,6.68E-08
Oxsr1,0.310909911,6.71E-08
Prkab2,0.297802068,6.73E-08
Pip4k2b,0.169398594,6.76E-08
Sh3bp5l,-0.426650291,6.93E-08
Sgip1,0.41198476,6.95E-08
Tspyl5,-0.402627364,6.95E-08
Cirbp,0.267674178,6.98E-08
Chd6,-0.33362552,7.08E-08
Diras1,-0.362316456,7.08E-08
Prune1,-0.321535891,7.08E-08
Agtrap,-1.77627555,7.08E-08
LOC103689961,0.406216998,7.10E-08
Surf2,0.618228406,7.11E-08
Fkbp11,0.246382786,7.11E-08
Rnf166,0.54751639,7.11E-08
LOC679894,0.733662799,7.12E-08
H3f3b,0.363684442,7.13E-08
Casc4,0.298138641,7.16E-08
Lyrm2,-0.541055294,7.16E-08
Fzd5,1.307530243,7.23E-08
Yju2,-0.563119365,7.27E-08
Ccne1,-0.944264318,7.29E-08
Sema3f,-0.592464216,7.40E-08
AABR07029605.1,0.427839752,7.44E-08
Amz1,-0.397225462,7.48E-08
RGD1304694,0.291995046,7.50E-08
Dis3,0.453093253,7.55E-08
Cox8a,0.325032754,7.60E-08
Ahnak,1.379153942,7.78E-08
Tstd2,-0.584876554,7.80E-08
Rgs10,0.504140438,7.81E-08
Tsga10,0.621134418,7.85E-08
Smim29,-0.348041105,7.91E-08
Zranb3,-0.591417482,7.94E-08
Dop1a,-0.386595999,8.08E-08
Tmem203,-0.538162338,8.09E-08
Eif2ak2,-1.034678623,8.09E-08
Eml4,0.294488452,8.11E-08
Asphd2,-0.494497153,8.13E-08
Haus1,-0.889793766,8.13E-08
Dtymk,0.40511704,8.17E-08
Rpl3,0.212405734,8.25E-08
Igfbp3,0.487843412,8.30E-08
Usp29,0.394383105,8.39E-08
Eif5,-0.430826162,8.46E-08
Bhlhe40,0.731500777,8.53E-08
Tagap,1.374115259,8.60E-08
Lpin3,0.966705349,8.62E-08
Prep,-0.26921733,8.63E-08
Arf2,0.267296269,8.66E-08
AABR07070238.3,1.7521231,8.73E-08
Lix1l,-0.46818809,8.75E-08
Fbxl16,-0.360705047,8.81E-08
Syt14,0.396045793,8.81E-08
Taldo1,0.306607135,8.93E-08
Mterf4,0.699403047,8.95E-08
Smc3,-0.371434045,8.97E-08
Avpi1,-0.842983225,9.03E-08
Papolg,-0.545734721,9.04E-08
Cyfip2,-0.223741079,9.09E-08
Hes6,-0.436603652,9.33E-08
Exoc8,-0.446622616,9.38E-08
Mfsd1,0.449460813,9.43E-08
Crebl2,-1.47007599,9.43E-08
Timmdc1,-0.48477034,9.52E-08
AABR07055280.1,0.401765557,9.81E-08
Paf1,-0.324096242,9.86E-08
Neurl2,-1.021511626,9.87E-08
Sema3d,1.421685124,9.87E-08
Rpl10,0.233255871,9.93E-08
Pcgf2,-0.462504319,1.00E-07
Kcnc3,0.305372434,1.00E-07
Zdhhc6,-0.561936232,1.00E-07
Klc4,-0.677303356,1.01E-07
Grk5,0.526869654,1.02E-07
Shisa2,1.263379232,1.03E-07
Pram1,0.944656221,1.04E-07
Ehd4,1.196096666,1.05E-07
Leng1,0.617595448,1.06E-07
Scg2,2.371962377,1.06E-07
Scaf11,-0.373990367,1.06E-07
Rnf169,0.594616615,1.06E-07
Sigmar1,0.354699266,1.07E-07
Dyrk1b,-0.600636207,1.08E-07
Fer,-0.366543072,1.10E-07
MGC95210,-0.867788965,1.10E-07
Ccdc115,-0.563131034,1.13E-07
Osbpl9,-0.376595365,1.13E-07
Fra10ac1,-0.777307157,1.13E-07
Glyctk,-0.939134046,1.14E-07
Tbca,0.441557925,1.14E-07
SNORD115,1.762612945,1.14E-07
Jmjd6,-0.409157116,1.15E-07
Dmac2,-0.549689929,1.15E-07
Pcdhga10,0.380511156,1.15E-07
Gmip,-0.437581254,1.16E-07
Acan,1.963743616,1.23E-07
Rps13,0.430072601,1.24E-07
Enkur,0.750416182,1.25E-07
Nsg2,0.253851173,1.25E-07
Kpnb1,-0.259813244,1.25E-07
Ube2m,0.232258713,1.26E-07
Ndufa1,0.393205747,1.27E-07
Mknk1,-0.96568734,1.27E-07
Ccdc92,0.440373382,1.27E-07
Dtx4,-0.354587703,1.27E-07
Capns1,0.244654451,1.28E-07
Gpatch3,0.642814953,1.29E-07
Zscan20,-0.86427561,1.30E-07
Efcab14,0.464576797,1.31E-07
Tent4a,0.263866941,1.31E-07
Zdhhc7,0.326904093,1.31E-07
Zfyve21,-0.735253984,1.33E-07
Eid2b,-0.754190626,1.34E-07
Neto1,0.375858086,1.34E-07
Sgce,-0.679612482,1.35E-07
Nsa2,0.38551544,1.36E-07
Pten,0.400174019,1.37E-07
Arx,0.554780035,1.38E-07
Smarcc1,-0.270857188,1.38E-07
Gprasp2,-0.328282988,1.40E-07
Rwdd2b,-0.568768037,1.40E-07
Atp1b1,0.377924672,1.41E-07
AY172581.17,1.858286859,1.42E-07
Scn3a,-0.37683024,1.42E-07
Psmg3,-0.460664798,1.43E-07
Tmem216,-1.098066556,1.43E-07
Lnx2,-0.615546746,1.44E-07
Gpkow,0.35044302,1.44E-07
Adck2,-0.700861801,1.45E-07
Bex4,0.408657393,1.46E-07
Gtf2h5,0.342820895,1.50E-07
Bnip1,-0.622391533,1.50E-07
Sbf2,-0.423445206,1.50E-07
Zc3h12a,1.832889499,1.51E-07
Mctp2,1.847187501,1.53E-07
Popdc3,1.134671322,1.54E-07
Slc28a2,1.123663408,1.54E-07
Wrap73,-0.526795933,1.56E-07
Prdm10,0.479032969,1.56E-07
Bend6,0.370653175,1.56E-07
Pacsin3,0.602426152,1.57E-07
Rab7a,0.229858466,1.58E-07
Kat6a,0.202606853,1.59E-07
Llph,0.759566962,1.60E-07
Pprc1,-0.290079257,1.61E-07
Eml6,0.571942132,1.62E-07
Vstm5,-0.993910688,1.62E-07
Ash2l,-0.393191877,1.62E-07
Mcmdc2,0.418367321,1.63E-07
R3hdm1,0.787967743,1.67E-07
Ctsf,-0.302792577,1.69E-07
Crnkl1,-0.419961159,1.69E-07
Nnat,0.397012981,1.70E-07
Ube2q2l,-0.933959169,1.71E-07
Pcsk6,0.381156266,1.72E-07
Septin5,0.274462053,1.72E-07
Dnpep,-0.278083368,1.72E-07
Ncln,-0.442017489,1.73E-07
Hm13,-0.254092322,1.73E-07
AABR07008016.1,0.929467658,1.73E-07
Hdgfl3,0.301246318,1.75E-07
Shank3,0.302214905,1.76E-07
Wdr17,-0.740282018,1.76E-07
LOC108348111,-0.493260921,1.76E-07
AABR07031494.1,-1.020993132,1.77E-07
Rnf168,-0.565161887,1.77E-07
Ppp6r3,-0.281267077,1.77E-07
Abhd17b,0.58036725,1.78E-07
Cox6c,0.349943029,1.79E-07
Papss1,-0.287581161,1.79E-07
Ryr3,0.512096684,1.84E-07
Plec,-0.431490367,1.85E-07
AABR07003537.1,1.364375911,1.86E-07
Srgap1,0.233961603,1.87E-07
Stk17b,1.906058948,1.90E-07
Prkab1,0.478290299,1.93E-07
Atg2b,-0.204019713,1.93E-07
Gtf2ird1,-0.532841917,1.94E-07
Fanci,0.694141201,1.94E-07
Vgf,1.732644646,1.94E-07
AC121209.1,0.650128758,1.96E-07
Setd7,-0.64718227,1.96E-07
Antxr2,1.222796273,1.96E-07
hist1h2ail2,1.207194588,1.97E-07
AABR07053681.1,-1.076221032,1.97E-07
Zfp444,-0.22664044,1.97E-07
Pde1b,-0.420515253,1.98E-07
Slc37a1,-1.054250695,1.98E-07
LOC100911372,0.292658102,1.98E-07
Clic4,0.844541651,2.00E-07
Socs2,0.654738391,2.03E-07
Fam222b,0.398817112,2.04E-07
Tollip,0.320047745,2.08E-07
Rps28,0.472887308,2.09E-07
B3galt2,0.65304265,2.11E-07
Zscan18,0.313240628,2.12E-07
Cmtr1,-0.251798858,2.12E-07
Pfdn1,0.296829259,2.13E-07
Bloc1s5,-0.838347383,2.14E-07
NEWGENE_1308196,-0.529323759,2.15E-07
Rspo1,-1.343157938,2.16E-07
Chadl,-1.002476838,2.16E-07
Gabrb1,0.552515871,2.17E-07
Zfp574,0.335986786,2.18E-07
Cmas,-0.365990533,2.19E-07
Ltn1,-0.331545854,2.23E-07
Sri,-0.573840101,2.25E-07
Gpr137c,0.611660509,2.26E-07
Atg2a,-0.326084964,2.26E-07
Ttll4,0.351093789,2.27E-07
Rpl35al1,0.470478276,2.30E-07
Vps37d,-0.471575464,2.31E-07
Tlnrd1,-0.364713962,2.31E-07
Tpbg,0.588868014,2.32E-07
Kif3b,-0.179372938,2.34E-07
Slc39a14,0.423534269,2.34E-07
Epgn,2.254926779,2.37E-07
Myo1b,-0.838857088,2.37E-07
Cep70,-0.847775599,2.38E-07
LOC108348180,0.332817725,2.40E-07
Stmn3,0.270876996,2.43E-07
Zmynd11,0.308532255,2.47E-07
Fmn1,0.51406844,2.50E-07
Rab9b,-0.421808918,2.51E-07
Cops9,0.419998082,2.51E-07
Fech,-0.501968984,2.52E-07
Stard7,-0.238617988,2.55E-07
AC120486.3,1.412180896,2.57E-07
Cwf19l1,-0.450236522,2.58E-07
Hagh,-0.465596224,2.58E-07
Fstl5,0.484672027,2.66E-07
Snx29,-0.31199195,2.67E-07
Kif19,-1.075171283,2.67E-07
LOC100912042,0.67359375,2.67E-07
Dazap1,0.321854259,2.68E-07
Tfrc,0.640049913,2.68E-07
Ctdspl,-0.652593382,2.70E-07
N4bp2l2,0.513459561,2.71E-07
AABR07001064.1,0.307666885,2.72E-07
Slc25a16,0.42691414,2.72E-07
Slc7a6os,0.337579228,2.74E-07
Tecpr2,-0.267041352,2.74E-07
Asnsd1,0.361824756,2.74E-07
LOC100911932,-1.746323519,2.75E-07
Slc38a9,-0.785946806,2.77E-07
Abhd5,-0.527592549,2.78E-07
Apoe,1.432618573,2.79E-07
AC132752.2,-0.593410519,2.79E-07
Hibch,-0.856718267,2.84E-07
Nrxn1,0.202881345,2.85E-07
Rfc3,-0.608011851,2.85E-07
Usp40,0.691979118,2.86E-07
Nus1,0.275686495,2.86E-07
Atpaf1,-0.413376279,2.93E-07
Tbc1d16,0.374345744,2.93E-07
Maml2,1.28931704,2.94E-07
Cops3,-0.409875718,2.99E-07
Zer1,-0.277777132,3.02E-07
Nupl2,-0.920927156,3.02E-07
Hexim2,-0.713967805,3.03E-07
Emp1,3.102805951,3.04E-07
Zfp354a,0.666513113,3.08E-07
Scyl1,-0.446681565,3.09E-07
Trim45,-0.825214663,3.09E-07
Cds2,-0.250717554,3.13E-07
Zfp771,-0.43759955,3.15E-07
Rab36,-0.434347339,3.16E-07
Rps6ka1,-0.504501414,3.17E-07
Coq8b,-0.355872584,3.17E-07
AABR07049948.1,0.839502014,3.19E-07
Rars2,-0.894747083,3.20E-07
Atg4d,-0.487486653,3.21E-07
Psma5,0.26204491,3.23E-07
RGD1305110,-0.536311983,3.23E-07
AC128792.1,0.742862594,3.24E-07
Alg1,-0.722571107,3.25E-07
